R1,R2,R3,R4,R5,R6
8,13,16,24,27,33
2,7,9,30,32,33
4,19,22,27,30,33
5,7,11,17,23,32
10,12,15,24,26,39
9,18,19,32,34,39
1,4,5,18,35,38
4,16,25,33,37,39
5,6,23,25,26,27
17,21,26,28,36,37
1,10,13,17,18,19
1,6,12,26,30,37
3,20,24,33,35,36
3,17,20,24,33,36
11,15,19,21,24,28
6,11,13,21,25,36
1,2,20,24,32,33
4,18,19,21,34,38
3,4,15,25,29,38
3,16,22,23,31,33
2,9,16,24,37,39
2,3,4,24,26,32
4,6,21,22,25,35
3,8,19,21,28,31
1,2,5,17,20,25
2,9,12,16,17,26
1,11,14,21,24,27
1,17,19,29,31,35
3,5,19,24,31,33
2,14,16,19,32,38
6,13,15,36,37,39
4,16,23,24,28,37
1,4,10,26,27,34
4,7,9,12,21,37
9,14,16,20,27,33
2,10,13,18,24,34
3,9,10,15,22,29
8,10,12,17,19,33
1,7,22,29,30,38
3,7,21,27,29,37
10,12,14,31,34,35
5,6,10,15,29,35
5,12,28,29,34,36
1,16,23,26,28,34
2,10,24,27,28,36
11,16,18,30,32,33
5,8,11,13,18,25
15,19,23,24,29,33
7,8,11,15,19,30
3,18,28,30,32,36
5,6,9,10,15,35
3,14,23,24,25,26
9,20,22,27,37,38
7,15,16,17,20,32
5,7,19,23,32,35
6,8,9,15,34,35
2,6,7,12,30,37
8,9,15,16,22,29
23,29,30,32,34,37
7,20,22,23,24,38
12,21,28,31,33,35
3,11,16,20,29,36
8,15,18,19,20,30
7,12,18,27,28,29
6,7,14,16,21,35
13,17,18,21,26,34
3,6,9,24,38,39
6,9,17,20,37,39
3,4,18,21,29,35
6,13,20,29,35,37
3,7,11,14,21,24
4,15,19,27,28,36
3,9,26,29,38,39
7,8,13,27,33,35
8,16,17,18,25,38
1,8,10,12,20,37
4,9,12,17,18,37
1,2,7,20,21,33
7,10,13,25,30,38
16,21,25,29,34,36
1,6,14,15,33,36
13,15,16,17,24,33
4,15,18,23,29,34
1,4,11,20,26,37
7,8,13,16,29,35
17,24,27,32,36,38
2,3,4,25,34,39
6,16,18,19,30,37
9,16,20,22,24,27
5,6,10,16,29,38
6,9,12,19,20,32
2,3,18,30,31,39
10,18,21,27,35,39
2,17,23,30,33,38
3,13,17,20,22,34
8,12,20,24,25,36
2,13,17,18,24,38
4,18,25,26,36,37
10,14,15,31,33,36
4,9,24,25,36,39
4,5,7,14,15,26
6,11,14,24,37,38
4,6,16,32,36,39
1,16,19,32,35,36
3,19,20,25,37,39
4,9,14,17,31,34
2,4,12,14,19,33
8,16,24,30,32,34
3,5,7,13,15,37
3,8,13,16,19,25
9,11,16,17,26,28
2,7,12,20,34,35
5,6,19,21,25,33
16,25,29,34,36,38
4,5,20,27,30,32
6,9,30,35,38,39
7,14,15,20,35,37
5,6,13,14,29,32
4,6,13,25,33,36
7,9,23,24,28,29
1,2,10,23,28,37
4,8,14,15,29,37
5,12,15,18,32,37
5,7,8,12,23,36
1,5,19,26,31,34
5,10,17,24,27,37
10,19,25,28,32,39
3,17,30,31,37,38
4,14,15,26,33,39
8,11,19,22,34,37
11,18,33,34,35,36
3,15,21,25,26,32
2,6,9,17,30,36
14,15,19,21,24,35
8,16,17,21,26,37
1,3,25,29,35,37
1,2,3,13,18,19
2,7,15,17,25,37
6,7,8,10,16,27
1,4,16,22,32,33
6,9,16,21,31,34
1,15,19,24,32,38
2,14,28,29,30,37
10,14,20,27,28,32
8,13,21,23,24,28
2,3,12,21,29,39
13,18,25,27,28,30
11,15,18,26,28,38
1,2,24,31,32,33
2,22,27,29,31,37
5,15,16,30,31,38
17,18,25,31,34,35
3,17,24,26,30,34
5,11,22,23,31,35
2,4,8,14,23,38
3,14,16,35,37,39
1,11,12,21,23,36
2,11,13,20,24,35
2,10,19,26,37,39
4,7,14,21,34,37
6,11,18,24,31,34
3,5,8,14,17,33
7,10,11,14,16,32
5,12,24,27,28,35
1,15,18,19,21,27
6,15,25,29,37,39
1,13,20,23,31,35
13,21,25,29,32,37
18,24,27,32,35,39
4,7,19,22,30,36
2,23,27,28,29,30
1,7,25,31,32,37
4,5,19,25,36,39
9,13,18,29,35,39
1,4,13,21,29,36
1,7,12,24,27,29
10,13,24,26,27,31
5,11,20,25,26,29
6,7,22,25,27,31
3,7,14,17,24,25
20,22,25,29,31,32
1,2,10,14,19,32
7,9,16,19,30,37
11,13,23,32,37,39
2,4,17,31,37,38
4,8,15,19,33,35
2,6,9,20,21,25
8,11,17,31,36,38
3,7,12,18,34,35
6,12,21,24,25,36
1,11,13,17,21,27
5,18,24,25,35,38
2,22,23,24,31,39
12,13,15,20,26,38
4,5,10,24,26,37
9,21,24,33,36,37
4,12,18,27,31,34
1,3,22,29,33,34
4,6,13,16,32,35
3,10,21,23,25,28
5,14,16,28,33,39
3,6,8,17,33,38
11,12,13,31,34,39
11,14,27,29,32,33
20,21,22,24,31,38
7,20,23,24,28,33
1,13,25,32,34,35
1,2,6,8,23,31
1,4,10,11,21,29
1,12,16,21,28,39
6,9,13,14,20,37
5,13,17,18,32,35
1,22,25,26,27,32
8,20,27,29,32,39
3,6,8,18,26,30
6,10,11,17,23,34
8,13,19,21,23,31
14,18,21,29,34,38
16,17,25,28,36,39
14,16,17,25,26,38
10,14,18,22,27,33
1,8,20,21,27,36
10,16,22,35,36,38
11,17,18,28,31,36
2,4,16,25,33,38
1,2,12,18,21,25
12,15,18,20,21,28
2,12,13,18,21,34
4,11,16,25,29,39
3,15,18,24,27,36
7,10,12,26,32,36
4,7,14,32,37,38
4,6,16,26,30,34
4,5,13,21,38,39
1,2,13,20,31,38
3,8,12,22,28,39
13,25,28,31,34,36
19,20,22,24,27,35
3,14,17,19,31,35
3,6,10,16,31,37
7,9,10,26,31,37
18,24,28,31,34,37
5,18,23,34,37,38
1,3,9,11,20,32
5,11,14,15,18,32
8,10,23,26,33,38
5,9,18,23,32,37
7,13,18,30,36,37
12,17,23,25,33,36
11,21,26,27,33,34
7,9,12,15,22,31
3,7,8,19,20,31
10,11,12,22,26,30
7,10,15,24,26,31
1,10,26,35,37,39
7,13,16,24,37,39
8,14,22,32,38,39
6,13,15,16,19,38
3,14,22,27,35,39
8,10,14,18,32,33
3,16,23,25,31,38
8,14,33,34,38,39
1,15,16,23,29,37
2,12,20,35,36,39
4,7,15,19,21,29
8,22,25,27,32,36
1,4,14,16,20,23
4,5,6,12,17,25
6,16,17,25,29,34
5,6,12,16,19,28
7,12,14,21,25,26
9,22,31,33,37,39
4,7,17,18,25,32
8,18,24,27,28,30
8,13,25,34,36,37
11,14,20,21,30,33
1,3,4,12,19,32
1,12,15,18,23,27
1,17,20,26,38,39
4,6,13,19,25,36
14,17,19,24,28,33
1,13,16,17,31,34
2,4,7,19,27,35
2,9,13,17,26,27
4,9,18,26,27,39
22,23,30,32,35,37
3,4,18,19,20,25
7,12,20,22,25,34
6,8,10,13,16,21
9,15,19,20,26,34
11,14,21,24,25,32
1,6,23,25,30,34
21,29,31,34,36,39
1,2,10,17,22,38
4,5,17,22,25,34
4,8,9,25,34,36
24,25,26,28,31,38
5,11,13,16,18,26
1,11,19,23,24,27
9,10,19,24,25,33
3,10,13,24,31,33
11,12,14,22,26,36
12,19,22,24,35,38
5,7,14,19,21,24
6,12,24,25,33,39
6,17,28,30,36,38
6,8,13,14,15,20
1,11,12,29,33,37
4,5,8,9,21,29
8,10,11,20,22,37
9,16,19,21,33,38
10,29,30,32,33,34
4,13,22,24,33,39
2,10,29,31,36,37
2,5,7,9,19,35
1,3,7,12,18,37
11,24,25,27,32,34
10,21,23,32,34,39
1,8,16,17,20,30
4,14,15,21,24,31
3,4,12,14,19,20
2,6,11,12,17,21
7,8,10,20,21,25
1,4,5,17,24,34
2,3,8,12,30,33
10,11,16,17,19,26
10,15,16,22,26,33
6,11,20,25,31,39
2,11,16,17,32,37
8,12,14,28,34,35
9,13,14,34,36,38
10,11,21,31,34,38
1,13,17,22,25,31
1,2,12,13,17,24
9,15,19,24,30,34
2,10,11,19,33,35
10,22,26,28,32,33
6,15,20,24,26,39
1,4,13,26,29,32
10,14,18,27,33,35
3,9,13,29,32,36
4,9,10,35,38,39
1,2,20,23,27,29
1,8,9,14,23,26
4,5,9,22,33,39
14,18,25,26,29,39
1,5,7,25,26,38
4,7,8,9,11,26
1,13,18,22,24,39
7,8,21,28,32,38
1,3,5,24,34,37
3,14,17,21,23,35
5,10,20,22,30,34
2,19,23,32,35,39
10,13,15,23,24,27
16,21,22,25,32,33
4,5,10,14,31,39
3,7,15,16,32,38
8,11,15,24,33,39
4,5,27,29,33,36
4,12,14,16,26,39
5,6,11,12,22,26
9,15,18,26,32,34
1,24,25,29,37,38
6,10,13,14,34,36
4,19,26,28,34,36
9,11,20,27,31,32
3,7,9,25,29,32
5,17,20,26,27,33
2,5,16,21,25,31
6,12,16,18,33,36
2,15,17,31,34,38
4,9,11,12,17,26
7,17,20,32,34,39
3,4,7,9,10,32
6,14,18,32,34,36
6,12,18,24,25,31
4,20,22,28,31,34
8,14,17,28,29,31
10,25,26,30,36,38
18,20,23,24,26,35
10,22,23,25,33,39
3,10,13,20,33,38
8,9,15,19,29,39
9,15,23,24,31,35
5,8,17,21,26,34
14,15,20,23,26,38
5,15,20,21,24,31
11,14,19,23,31,37
7,10,23,27,31,39
4,19,27,28,36,38
12,20,24,28,38,39
4,5,32,34,37,38
12,19,22,24,28,38
1,12,17,22,30,31
9,10,16,17,18,34
2,4,5,20,22,26
7,20,25,26,36,37
4,8,10,17,18,36
1,3,12,19,30,35
10,15,24,31,36,38
10,14,16,22,27,28
10,13,19,21,24,25
7,10,11,13,23,26
10,12,16,22,31,34
2,3,8,9,12,37
1,14,21,24,29,32
1,9,20,27,32,36
8,19,21,29,33,39
1,3,16,26,33,34
7,14,16,25,31,38
27,30,32,35,36,38
6,10,14,15,29,33
1,11,24,26,32,33
9,13,24,25,29,38
5,12,21,23,34,38
2,4,17,20,24,33
1,3,12,16,20,22
2,6,22,25,26,33
1,7,10,15,19,39
11,20,25,26,31,35
5,8,10,11,12,39
4,6,12,24,37,38
6,11,16,20,22,31
2,11,14,16,29,32
6,18,19,20,25,36
6,22,24,25,26,28
4,5,10,19,22,37
1,4,17,19,30,35
15,17,23,28,30,35
2,4,15,22,25,38
11,14,15,19,27,35
5,18,19,20,27,35
9,11,22,29,31,33
7,11,15,18,34,35
1,6,8,10,27,34
8,10,19,29,37,39
5,6,13,31,33,39
7,17,28,34,37,39
2,10,13,26,35,39
11,13,27,29,30,31
10,12,20,23,31,36
1,10,19,24,32,35
6,17,20,24,26,28
2,3,7,22,25,30
14,19,21,25,34,35
4,6,11,18,19,22
2,5,15,18,21,22
2,3,15,27,30,35
3,4,8,12,27,38
5,7,13,27,28,30
7,15,22,27,37,39
2,3,9,29,30,38
8,24,25,26,30,32
10,12,16,28,32,38
6,7,9,22,28,35
6,20,24,35,36,37
12,15,21,22,35,36
1,15,23,26,29,30
9,21,28,30,31,38
8,10,12,21,22,31
9,21,24,28,31,36
4,8,9,12,21,24
23,26,28,31,32,36
1,8,18,20,22,37
3,4,19,27,36,37
7,12,13,14,21,29
5,8,14,22,26,28
1,2,5,13,18,20
4,5,6,13,31,32
3,6,12,20,23,37
1,13,15,26,29,34
4,6,14,26,36,37
7,11,14,16,17,23
4,22,23,31,32,38
10,11,15,16,32,35
4,28,29,33,34,38
5,9,14,18,20,25
2,4,8,20,27,31
13,16,24,28,37,39
4,15,16,21,23,26
7,8,18,19,23,31
8,9,13,14,21,30
2,5,7,15,19,23
3,4,22,24,29,32
3,8,12,29,32,33
10,15,22,27,31,32
5,8,11,14,17,28
1,7,8,10,22,33
3,4,8,26,29,33
2,6,14,21,31,35
6,7,11,27,37,39
4,14,17,22,26,29
11,24,25,27,30,34
13,18,21,31,33,36
11,14,16,28,38,39
2,5,11,16,27,32
1,15,17,29,30,35
10,12,13,18,27,36
1,10,26,29,33,38
4,12,21,30,33,36
13,15,29,31,32,36
1,4,10,25,30,33
3,24,25,27,34,35
3,7,10,17,28,37
11,16,26,27,35,36
2,23,27,28,36,37
7,15,19,26,36,38
5,6,7,18,36,39
7,11,17,31,34,38
4,14,16,18,27,36
6,13,21,27,32,36
4,8,18,25,27,28
12,13,16,20,21,22
3,8,11,16,18,34
8,19,20,25,26,39
4,5,7,14,21,26
4,6,21,25,34,36
13,17,20,25,35,38
4,8,15,21,26,32
2,18,19,26,28,31
5,11,16,20,30,34
9,10,19,21,28,33
7,10,12,27,32,39
1,11,12,22,33,34
18,24,28,29,34,38
7,23,31,35,37,39
1,13,15,26,32,39
1,7,10,11,18,19
1,4,6,12,16,20
1,12,13,26,38,39
4,6,9,16,35,36
1,7,14,17,33,35
8,15,23,24,25,32
7,13,17,23,28,31
8,12,19,30,31,39
2,6,15,20,22,30
7,22,24,25,28,29
2,10,24,30,38,39
21,22,26,30,35,36
1,3,10,11,29,39
11,18,22,28,30,38
16,17,18,23,30,34
1,2,6,13,29,32
3,15,26,27,35,37
16,18,22,25,32,37
8,11,15,20,36,37
6,13,15,28,31,34
4,5,22,23,24,36
3,4,11,36,38,39
5,9,20,33,34,39
5,6,20,26,28,37
2,5,8,18,25,31
11,24,26,27,35,38
2,8,12,22,23,30
1,8,9,13,36,37
6,13,20,27,28,35
2,7,8,16,32,38
4,26,32,34,38,39
9,18,21,23,24,38
5,17,20,21,28,32
14,21,22,23,25,32
8,17,23,27,33,38
6,13,14,18,24,26
1,6,9,25,32,35
2,6,11,24,32,35
15,17,23,24,26,27
2,11,15,18,19,25
1,15,25,30,34,36
22,25,26,29,33,38
2,4,9,12,19,21
7,15,28,29,34,37
2,5,16,18,21,27
8,17,22,27,31,38
9,13,16,20,22,34
2,11,20,25,26,38
11,16,24,32,34,35
2,11,17,20,28,34
11,16,24,33,37,38
1,4,12,21,31,38
8,9,16,29,36,37
9,14,17,18,30,35
1,17,25,27,28,38
1,6,28,29,36,38
4,10,13,23,36,39
2,5,6,13,28,31
2,3,13,26,30,31
5,16,21,30,32,37
2,4,11,14,25,37
8,16,20,28,30,34
2,7,14,16,23,27
17,20,22,29,31,34
3,13,15,27,33,39
2,8,22,30,34,36
2,6,7,13,16,23
12,20,23,27,31,39
2,4,7,10,11,18
14,15,21,25,36,39
9,11,19,27,33,37
4,8,11,22,36,37
2,3,7,8,11,16
6,9,11,27,28,38
14,16,24,32,36,37
15,23,26,27,33,34
5,22,26,29,33,34
2,5,7,16,18,38
4,6,10,11,16,19
5,9,12,19,28,33
1,13,22,31,32,34
3,10,15,18,36,39
6,8,10,25,36,39
1,8,9,11,30,35
1,4,7,15,23,29
2,13,19,25,37,38
4,7,13,23,25,33
12,21,25,27,29,32
15,20,21,24,32,33
9,13,26,28,33,38
6,21,22,26,27,34
6,9,13,20,35,37
16,22,26,32,33,38
1,4,9,14,16,36
7,12,20,25,26,29
5,12,18,23,26,38
4,19,23,26,30,34
10,11,15,16,34,38
2,3,13,15,33,34
4,11,17,23,30,36
7,16,21,29,38,39
7,13,23,24,32,34
10,16,18,19,23,38
10,18,19,21,32,39
3,15,20,24,31,39
1,7,10,14,22,36
5,6,20,22,24,26
4,10,22,27,30,35
12,15,23,33,37,39
1,4,5,12,17,36
9,10,14,20,23,36
5,12,18,33,34,38
2,6,15,24,31,36
2,6,7,11,26,31
3,4,5,10,17,29
3,8,20,25,31,34
5,7,8,9,27,28
2,6,8,14,19,29
5,14,20,26,30,37
2,10,13,35,36,38
11,13,16,27,36,39
8,15,23,25,30,36
9,14,15,26,34,37
12,18,23,24,28,32
7,8,12,23,26,29
10,12,15,19,20,21
2,4,8,33,34,36
2,5,21,27,28,36
5,19,23,28,29,39
8,9,14,19,27,34
4,9,24,25,34,38
12,26,29,33,37,38
8,12,13,15,24,26
3,13,17,27,36,37
10,17,28,34,36,38
5,7,13,26,30,33
3,22,25,28,30,36
1,3,11,16,20,22
3,13,16,24,29,37
1,12,14,26,28,30
14,22,25,26,29,36
2,6,11,18,27,32
3,5,23,28,33,34
6,11,19,26,30,37
2,3,8,16,20,30
2,8,28,32,36,39
2,4,9,19,22,37
9,16,22,25,30,31
3,16,18,31,36,38
3,9,12,15,21,36
3,7,12,16,17,19
1,14,18,21,29,39
1,5,6,24,28,39
2,11,18,19,27,30
16,18,26,27,29,38
6,7,11,27,32,33
4,12,13,23,24,25
3,9,25,30,36,39
7,12,13,16,30,39
3,12,15,23,32,36
3,8,13,19,28,32
4,16,19,29,32,35
5,6,12,13,15,21
6,11,18,20,31,35
8,21,24,30,32,38
1,8,18,22,26,34
2,3,12,14,28,39
15,17,23,25,35,39
1,9,11,14,32,38
2,3,4,11,15,29
2,26,28,31,33,37
2,18,26,31,33,35
2,11,14,15,19,26
1,4,7,11,25,39
6,7,9,13,14,26
2,5,16,23,35,36
6,9,10,17,23,37
3,15,16,18,25,34
8,12,15,22,25,37
2,10,18,19,30,37
6,21,23,26,29,31
11,14,18,23,24,30
7,9,22,26,27,37
9,14,24,26,31,37
1,7,12,25,31,34
2,4,6,21,27,31
2,13,25,27,29,39
4,14,24,32,34,39
3,4,7,25,31,35
6,10,11,35,37,38
3,13,19,29,30,38
1,6,9,11,21,31
6,9,14,15,16,30
7,13,16,26,29,39
10,14,24,26,29,30
3,7,10,17,18,20
1,8,13,14,19,35
9,13,19,26,32,37
15,20,24,29,31,39
8,16,20,21,26,36
18,24,25,28,31,38
13,14,28,31,33,37
11,14,16,29,36,37
15,21,29,34,38,39
5,19,25,34,35,39
15,16,21,22,27,29
1,9,11,22,26,32
3,13,15,24,30,32
1,3,15,22,24,27
1,8,14,15,18,38
10,12,23,28,35,36
8,15,19,32,35,37
7,19,21,28,38,39
6,9,12,25,33,37
2,9,10,19,26,30
2,8,21,22,30,34
4,15,21,23,25,32
1,22,25,27,29,33
2,4,5,8,15,34
6,8,22,24,30,34
10,16,28,29,32,33
4,5,6,8,14,32
16,20,24,26,27,29
8,18,24,26,27,39
17,18,25,27,34,36
9,11,13,14,23,30
4,5,6,14,21,35
9,10,12,21,27,38
2,5,12,14,25,29
2,19,23,28,29,35
7,8,10,19,20,30
8,9,17,20,25,30
2,12,13,20,23,29
5,6,11,20,28,29
10,20,21,25,35,39
6,9,10,11,13,21
7,8,15,16,24,28
5,6,7,9,25,32
7,8,11,14,26,38
9,16,17,20,24,39
1,6,10,18,32,37
4,6,13,14,21,32
2,5,8,25,35,38
9,13,19,27,33,36
2,7,8,9,24,28
1,2,4,6,20,28
11,13,23,30,31,33
1,9,19,23,25,29
4,5,8,15,34,35
2,3,28,33,38,39
4,10,30,37,38,39
4,10,13,14,16,25
9,12,26,28,31,36
10,12,18,28,32,37
2,7,17,22,32,36
9,13,16,19,30,39
12,13,26,29,35,39
2,6,11,26,37,38
8,9,11,16,21,32
8,22,23,24,35,37
2,4,11,22,26,35
8,10,14,22,29,36
3,6,17,24,25,33
5,13,21,22,23,36
2,7,14,19,24,37
1,7,12,25,29,35
2,3,6,9,21,34
4,6,11,23,28,35
2,25,27,31,33,38
1,8,23,24,29,37
6,8,18,21,23,32
4,6,9,16,27,33
1,8,12,17,18,23
17,20,22,24,29,31
7,12,17,21,24,37
1,3,4,12,17,32
1,4,10,26,27,33
20,26,29,31,37,38
3,11,21,23,24,38
2,7,14,15,30,36
13,15,26,32,38,39
23,24,25,26,28,30
8,10,17,18,36,39
4,6,7,15,16,25
9,14,17,30,36,37
7,8,15,25,31,35
5,6,27,29,34,35
16,17,19,25,26,37
5,6,12,16,36,37
1,9,11,14,20,22
2,8,15,30,32,37
1,15,33,35,38,39
6,21,22,30,32,38
17,22,26,27,36,38
5,17,20,28,30,36
3,12,13,17,25,37
3,10,13,18,26,34
1,10,12,18,20,24
12,14,18,22,23,30
3,10,14,23,26,33
5,7,10,11,27,30
8,10,13,15,32,34
18,19,28,29,31,33
4,15,17,18,23,36
1,9,12,15,33,34
6,9,21,25,31,35
2,4,8,10,14,16
1,11,13,28,33,36
4,5,10,15,26,27
7,9,13,17,24,34
1,17,25,30,32,33
2,4,11,14,22,33
1,4,7,23,25,27
7,8,11,26,36,38
2,8,13,27,36,37
6,19,22,27,37,38
1,2,3,6,18,34
1,4,11,12,27,36
3,7,14,19,22,38
8,10,11,15,25,38
5,12,14,32,34,39
1,8,13,14,20,28
6,10,11,26,27,29
15,26,34,37,38,39
2,4,5,14,34,39
10,14,16,29,33,35
13,14,21,30,31,33
2,4,10,28,33,39
4,11,24,25,26,39
4,14,15,21,28,37
3,10,18,21,26,27
4,16,26,28,31,33
24,30,34,37,38,39
1,5,12,24,29,37
19,23,26,31,35,36
10,12,16,23,26,30
2,5,7,10,21,39
1,9,14,27,30,37
3,15,20,22,26,29
7,13,21,25,30,33
4,5,16,29,31,32
1,6,9,13,15,19
7,16,18,22,25,26
11,14,17,18,24,29
4,7,23,31,33,35
9,21,30,32,34,35
9,18,32,37,38,39
4,7,11,23,25,33
3,18,19,22,26,32
12,13,20,25,26,35
5,14,22,25,35,39
1,4,9,21,24,25
10,19,20,21,24,25
1,2,3,5,13,16
12,13,20,25,26,27
2,7,8,11,27,30
11,20,22,25,31,38
3,13,18,20,26,32
6,10,11,17,20,33
4,8,16,22,27,33
3,4,31,32,34,36
2,6,11,27,32,37
1,10,18,19,27,34
8,12,15,20,23,35
16,21,26,28,31,34
10,12,23,27,33,36
3,17,20,25,35,39
4,11,13,17,28,38
18,19,28,29,32,37
4,8,12,13,14,29
2,6,7,12,18,29
1,13,15,17,25,37
1,13,19,35,36,38
4,9,18,29,30,38
4,7,8,15,20,23
12,19,23,27,34,37
3,4,21,22,24,37
2,5,9,13,19,31
6,9,22,25,32,36
2,6,24,33,35,36
7,8,11,27,34,39
2,10,15,21,28,31
6,7,17,19,21,31
4,8,16,19,25,27
4,10,17,30,31,39
3,13,17,31,33,38
3,4,6,8,30,31
1,3,4,20,22,33
3,8,10,11,25,39
5,6,17,20,30,37
1,3,12,23,29,30
15,19,27,34,38,39
6,11,23,31,32,35
13,14,21,28,36,39
7,9,23,30,33,38
4,16,20,28,33,35
1,4,16,17,19,38
10,11,27,29,31,36
3,10,20,26,32,37
7,13,21,23,24,31
10,20,27,31,34,35
11,17,19,20,27,29
6,15,22,23,30,38
3,10,27,32,35,36
16,18,24,34,35,36
8,24,29,31,32,33
6,10,12,20,27,31
3,4,15,16,28,35
2,8,16,19,37,39
9,17,21,25,31,38
15,20,21,28,37,39
11,12,23,25,29,30
5,7,16,25,27,31
8,11,15,27,29,38
18,20,32,33,34,37
4,8,15,23,27,30
5,12,16,27,34,39
7,8,12,31,32,39
9,10,22,25,31,36
6,8,9,12,33,38
3,6,7,22,30,35
1,9,10,13,24,34
8,11,18,23,24,30
5,7,9,13,19,31
3,25,28,30,33,36
3,6,9,28,29,30
6,7,10,12,17,18
13,22,25,28,35,36
11,27,29,34,35,37
1,8,10,17,22,28
14,17,25,29,36,38
5,7,8,12,27,31
23,28,29,30,32,38
6,15,26,32,35,39
6,11,25,27,31,38
12,18,21,33,35,37
11,18,26,35,36,39
9,20,28,34,38,39
3,10,17,25,29,37
7,10,17,20,29,31
1,11,18,23,31,39
6,14,15,19,25,31
10,12,13,14,30,39
3,10,14,19,29,36
3,11,15,24,29,38
3,20,25,28,34,38
9,17,20,30,31,38
12,17,31,36,37,39
2,7,20,24,32,33
8,14,17,29,31,34
1,3,24,29,33,38
4,7,17,23,29,37
4,12,20,35,36,38
2,9,20,21,27,37
2,18,26,28,32,37
2,3,4,6,16,37
3,27,31,32,34,38
2,4,15,22,31,38
5,6,8,26,29,39
1,3,9,22,24,27
14,17,25,32,37,39
1,3,21,23,35,37
4,11,14,21,27,30
10,28,29,30,31,39
1,3,14,18,31,34
1,3,9,21,24,33
1,6,10,24,28,31
2,7,21,31,37,39
2,4,14,26,30,37
10,11,26,35,38,39
1,4,7,10,28,29
11,18,25,27,31,39
1,8,21,22,34,37
13,17,25,28,38,39
7,14,21,24,34,36
3,4,12,19,23,37
6,10,12,13,20,35
1,5,13,21,30,35
12,13,16,26,30,33
13,17,21,22,28,33
3,5,14,20,22,39
15,23,26,31,35,37
1,3,25,27,37,39
13,21,23,29,30,35
4,15,17,19,22,37
2,9,23,32,33,35
2,12,17,28,34,39
9,18,22,23,36,37
